id,name,long_name,named_place,station_type,basin,lon,lat,alt,start_date,end_date,is_open,is_public,department_id,is_daily,is_hourly,is_minutely
33516001,SOUSSAC CEIO,SOUSSAC (SOUSSAC CEIO),CEIO,4,O938,0.018333,44.728333,130,1969-01-01,1977-12-31,true,true,33,true,false,false
41053001,CHOUE,CHOUE,,1,M122,0.912833,47.969167,163,2006-03-15,,true,true,41,true,true,true
41262001,TOUR-EN-SOLOGNE,TOUR-EN-SOLOGNE,LE RIOUT,2,K467,1.493333,47.533333,81,1993-10-01,2002-02-28,false,true,41,true,true,false
41270001,VERDES,BEAUCE LA ROMAINE (VERDES),SILO FRANCIADE,2,M112,1.418333,47.961667,127,1994-01-01,1998-10-31,false,true,41,true,true,false
42152001,NANDAX,NANDAX,RESSINS,2,K101,4.191333,46.097,374,1954-06-01,,true,true,42,true,true,true
42011001,BALBIGNY,BALBIGNY,LOTISSEMENT LES PEUPLIERS,2,K079,4.192,45.820167,336,1943-05-01,,true,true,42,true,true,true
42032001,CELLIEU,CELLIEU,L OLLIERE,3,V311,4.538667,45.533833,493,1996-03-01,2021-04-01,false,true,42,true,true,true
42039003,CHALMAZEL_RA,CHALMAZEL-JEANSAGNIERE (CHALMAZEL_RA),LA GARDONNANCHE,1,K072,3.844,45.699,990,2001-08-01,,true,true,42,true,true,true
42059001,CHAZELLES-LYON,CHAZELLES-SUR-LYON (CHAZELLES-LYON),AU CAMP,2,K067,4.396333,45.642333,632,1956-09-01,,true,true,42,true,true,true
42094002,FEURS SMMA,FEURS (FEURS SMMA),SMMA,4,K071,4.223333,45.743333,344,1941-01-01,1946-12-31,false,true,42,true,true,false
33520001,TAILLECAVAT LA FORET,TAILLECAVAT (TAILLECAVAT LA FORET),LA FORET,4,O935,0.15,44.648333,70,1969-01-01,1974-07-31,true,true,33,true,false,false
